update,timestep,mean_reward,actor_loss,critic_loss,entropy
1,1024,19.8333,-0.000701,25.703097,0.688784
5,5120,21.9700,0.000669,52.885309,0.692901
10,10240,21.7400,0.000234,52.023259,0.693038
15,15360,20.6200,0.000161,43.688421,0.690692
20,20480,22.1900,-0.001561,46.581353,0.680236
25,25600,21.6000,-0.000566,42.478102,0.692811
30,30720,23.0500,0.000057,46.138026,0.692827
35,35840,20.6300,-0.000022,55.171974,0.687444
40,40960,17.7800,-0.004168,40.615409,0.691689
45,46080,22.3000,0.000356,44.722958,0.690216
50,51200,20.9200,-0.001753,46.847010,0.692147
55,56320,22.0700,0.000797,50.724725,0.661702
60,61440,23.2200,0.000122,55.002059,0.691045
65,66560,22.4000,-0.000256,58.146547,0.686971
70,71680,19.7000,-0.010566,48.024721,0.690002
